Clef_Date,Date_Complete,Jour,Semaine,Semaine_Annee,Mois,Mois_Annee,Trimestre,Trimestre_Annee,Annee,Ferie,Nom_Mois,Nom_Jour
20240101,2024-01-01,1,1,202401,1,202401,1,20241,2024,1,Janvier,Lundi
20240102,2024-01-02,2,1,202401,1,202401,1,20241,2024,0,Janvier,Mardi
20240103,2024-01-03,3,1,202401,1,202401,1,20241,2024,0,Janvier,Mercredi
20240104,2024-01-04,4,1,202401,1,202401,1,20241,2024,0,Janvier,Jeudi
20240105,2024-01-05,5,1,202401,1,202401,1,20241,2024,0,Janvier,Vendredi
20240106,2024-01-06,6,1,202401,1,202401,1,20241,2024,1,Janvier,Samedi
20240107,2024-01-07,7,1,202401,1,202401,1,20241,2024,1,Janvier,Dimanche
20240108,2024-01-08,8,2,202402,1,202401,1,20241,2024,0,Janvier,Lundi
20240109,2024-01-09,9,2,202402,1,202401,1,20241,2024,0,Janvier,Mardi
20240110,2024-01-10,10,2,202402,1,202401,1,20241,2024,0,Janvier,Mercredi
20241101,2024-11-01,1,44,204444,11,202411,4,20244,2024,0,Novembre,Vendredi
20241102,2024-11-02,2,44,204444,11,202411,4,20244,2024,1,Novembre,Samedi
20241103,2024-11-03,3,44,204444,11,202411,4,20244,2024,1,Novembre,Dimanche
20241104,2024-11-04,4,45,204445,11,202411,4,20244,2024,0,Novembre,Lundi
20241105,2024-11-05,5,45,204445,11,202411,4,20244,2024,0,Novembre,Mardi
20241106,2024-11-06,6,45,204445,11,202411,4,20244,2024,0,Novembre,Mercredi
20241107,2024-11-07,7,45,204445,11,202411,4,20244,2024,0,Novembre,Jeudi
20241108,2024-11-08,8,45,204445,11,202411,4,20244,2024,0,Novembre,Vendredi
20241109,2024-11-09,9,45,204445,11,202411,4,20244,2024,1,Novembre,Samedi
20241110,2024-11-10,10,45,204445,11,202411,4,20244,2024,1,Novembre,Dimanche
20241111,2024-11-11,11,46,204446,11,202411,4,20244,2024,0,Novembre,Lundi
20241112,2024-11-12,12,46,204446,11,202411,4,20244,2024,0,Novembre,Mardi
20241113,2024-11-13,13,46,204446,11,202411,4,20244,2024,0,Novembre,Mercredi
20241114,2024-11-14,14,46,204446,11,202411,4,20244,2024,0,Novembre,Jeudi
20241115,2024-11-15,15,46,204446,11,202411,4,20244,2024,0,Novembre,Vendredi
20241116,2024-11-16,16,46,204446,11,202411,4,20244,2024,1,Novembre,Samedi
20241117,2024-11-17,17,46,204446,11,202411,4,20244,2024,1,Novembre,Dimanche
20241118,2024-11-18,18,47,204447,11,202411,4,20244,2024,0,Novembre,Lundi
20241119,2024-11-19,19,47,204447,11,202411,4,20244,2024,0,Novembre,Mardi
20241120,2024-11-20,20,47,204447,11,202411,4,20244,2024,0,Novembre,Mercredi
20241121,2024-11-21,21,47,204447,11,202411,4,20244,2024,0,Novembre,Jeudi
20241122,2024-11-22,22,47,204447,11,202411,4,20244,2024,0,Novembre,Vendredi
20241123,2024-11-23,23,47,204447,11,202411,4,20244,2024,1,Novembre,Samedi
20241124,2024-11-24,24,47,204447,11,202411,4,20244,2024,1,Novembre,Dimanche
20241125,2024-11-25,25,48,204448,11,202411,4,20244,2024,0,Novembre,Lundi
20241126,2024-11-26,26,48,204448,11,202411,4,20244,2024,0,Novembre,Mardi
20241127,2024-11-27,27,48,204448,11,202411,4,20244,2024,0,Novembre,Mercredi
20241128,2024-11-28,28,48,204448,11,202411,4,20244,2024,0,Novembre,Jeudi
20241129,2024-11-29,29,48,204448,11,202411,4,20244,2024,0,Novembre,Vendredi
20241130,2024-11-30,30,48,204448,11,202411,4,20244,2024,1,Novembre,Samedi
20241201,2024-12-01,1,48,204448,12,202412,4,20244,2024,1,Decembre,Dimanche
20241202,2024-12-02,2,49,204449,12,202412,4,20244,2024,0,Decembre,Lundi
20241203,2024-12-03,3,49,204449,12,202412,4,20244,2024,0,Decembre,Mardi
20241204,2024-12-04,4,49,204449,12,202412,4,20244,2024,0,Decembre,Mercredi
20241205,2024-12-05,5,49,204449,12,202412,4,20244,2024,0,Decembre,Jeudi
20241206,2024-12-06,6,49,204449,12,202412,4,20244,2024,0,Decembre,Vendredi
20241207,2024-12-07,7,49,204449,12,202412,4,20244,2024,1,Decembre,Samedi
20241208,2024-12-08,8,49,204449,12,202412,4,20244,2024,1,Decembre,Dimanche
20241209,2024-12-09,9,50,204450,12,202412,4,20244,2024,0,Decembre,Lundi
20241210,2024-12-10,10,50,204450,12,202412,4,20244,2024,0,Decembre,Mardi
20241211,2024-12-11,11,50,204450,12,202412,4,20244,2024,0,Decembre,Mercredi
20241212,2024-12-12,12,50,204450,12,202412,4,20244,2024,0,Decembre,Jeudi
20241213,2024-12-13,13,50,204450,12,202412,4,20244,2024,0,Decembre,Vendredi
20241214,2024-12-14,14,50,204450,12,202412,4,20244,2024,1,Decembre,Samedi
20241215,2024-12-15,15,50,204450,12,202412,4,20244,2024,1,Decembre,Dimanche
20241216,2024-12-16,16,51,204451,12,202412,4,20244,2024,0,Decembre,Lundi
20241217,2024-12-17,17,51,204451,12,202412,4,20244,2024,0,Decembre,Mardi
20241218,2024-12-18,18,51,204451,12,202412,4,20244,2024,0,Decembre,Mercredi
20241219,2024-12-19,19,51,204451,12,202412,4,20244,2024,0,Decembre,Jeudi
20241220,2024-12-20,20,51,204451,12,202412,4,20244,2024,0,Decembre,Vendredi
20241221,2024-12-21,21,51,204451,12,202412,4,20244,2024,1,Decembre,Samedi
20241222,2024-12-22,22,51,204451,12,202412,4,20244,2024,1,Decembre,Dimanche
20241223,2024-12-23,23,52,204452,12,202412,4,20244,2024,0,Decembre,Lundi
20241224,2024-12-24,24,52,204452,12,202412,4,20244,2024,0,Decembre,Mardi
20241225,2024-12-25,25,52,204452,12,202412,4,20244,2024,0,Decembre,Mercredi