Clef_Temps,Temps,Heure,Minute,AM_PM,Jour_Nuit,Heure_Creuse
1,08:00:00,8,0,AM,Jour,0
2,08:15:00,8,15,AM,Jour,0
3,08:30:00,8,30,AM,Jour,0
4,08:45:00,8,45,AM,Jour,0
5,09:00:00,9,0,AM,Jour,0
6,09:15:00,9,15,AM,Jour,0
7,09:30:00,9,30,AM,Jour,0
8,09:45:00,9,45,AM,Jour,0
9,10:00:00,10,0,AM,Jour,0
10,10:15:00,10,15,AM,Jour,0
11,10:30:00,10,30,AM,Jour,0
12,10:45:00,10,45,AM,Jour,0
13,11:00:00,11,0,AM,Jour,0
14,11:15:00,11,15,AM,Jour,0
15,11:30:00,11,30,AM,Jour,0
16,11:45:00,11,45,AM,Jour,0
17,12:00:00,12,0,PM,Jour,0
18,12:15:00,12,15,PM,Jour,0
19,12:30:00,12,30,PM,Jour,0
20,12:45:00,12,45,PM,Jour,0
21,13:00:00,13,0,PM,Jour,0
22,13:15:00,13,15,PM,Jour,0
23,13:30:00,13,30,PM,Jour,0
24,13:45:00,13,45,PM,Jour,0
25,14:00:00,14,0,PM,Jour,0
26,14:15:00,14,15,PM,Jour,0
27,14:30:00,14,30,PM,Jour,0
28,14:45:00,14,45,PM,Jour,0
29,15:00:00,15,0,PM,Jour,0
30,15:15:00,15,15,PM,Jour,0
31,15:30:00,15,30,PM,Jour,0
32,15:45:00,15,45,PM,Jour,0
33,16:00:00,16,0,PM,Jour,0
34,16:15:00,16,15,PM,Jour,0
35,16:30:00,16,30,PM,Jour,0
36,16:45:00,16,45,PM,Jour,0
37,17:00:00,17,0,PM,Jour,0
38,17:15:00,17,15,PM,Jour,0
39,17:30:00,17,30,PM,Jour,0
40,17:45:00,17,45,PM,Jour,0
41,18:00:00,18,0,PM,Nuit,0
42,18:15:00,18,15,PM,Nuit,0
43,18:30:00,18,30,PM,Nuit,0
44,18:45:00,18,45,PM,Nuit,0
45,19:00:00,19,0,PM,Nuit,0
46,19:15:00,19,15,PM,Nuit,0
47,19:30:00,19,30,PM,Nuit,0
48,19:45:00,19,45,PM,Nuit,0
49,20:00:00,20,0,PM,Nuit,0
50,20:15:00,20,15,PM,Nuit,0
51,20:30:00,20,30,PM,Nuit,0
52,20:45:00,20,45,PM,Nuit,0